Frame,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z
1,128.91618,-192.71324,61.211056,-821.1571,-763.2266,-824.9759,810.8905,925.21844,941.2751,10.1,11.900001,11.1,31.0,14.0,23.0
2,128.03012,-192.52675,61.527435,-819.0466,-764.53735,-825.9155,811.35846,924.8532,940.64825,11.0,11.900001,11.0,31.0,14.0,23.0
3,127.31334,-192.08421,61.964207,-817.28455,-765.96936,-827.8882,811.40967,924.1899,939.45233,11.1,11.7,11.2,31.0,14.0,23.0
4,126.733086,-191.46638,62.49599,-815.51465,-767.6692,-830.02356,811.2756,923.2937,937.95264,11.1,11.900001,11.400001,31.0,14.0,23.0
5,126.16792,-190.7558,63.20299,-813.6909,-769.57196,-831.02106,810.9107,922.2135,936.86523,10.900001,11.6,11.2,31.0,14.0,55.0
6,125.67155,-189.99991,64.141945,-812.2339,-771.6233,-831.633,809.9726,920.90295,935.6424,10.7,11.5,11.7,31.0,14.0,55.0
7,125.23563,-189.39497,65.15648,-810.94354,-773.9296,-833.1048,808.47894,919.3918,933.9736,11.400001,11.2,11.5,31.0,14.0,55.0
8,124.712715,-188.80225,66.12316,-809.66064,-776.4315,-835.18823,806.7489,917.4613,932.014,11.400001,11.900001,11.400001,31.0,14.0,55.0
9,124.197586,-188.08195,67.1855,-808.5857,-779.1466,-837.14575,804.5654,915.02386,929.8274,11.1,11.400001,10.7,31.0,14.0,55.0
10,123.88956,-187.41249,68.28082,-807.86005,-782.37854,-838.78705,801.92004,912.29346,927.71796,10.400001,11.6,11.0,31.0,14.0,63.0
11,123.76944,-186.91542,69.19842,-807.63824,-786.23944,-840.47833,799.1618,909.5641,925.5936,10.6,11.400001,11.6,31.0,14.0,63.0
12,123.872475,-186.72139,69.84179,-807.60315,-790.6681,-842.16003,796.24274,907.187,923.53064,9.6,11.5,11.5,31.0,14.0,63.0
13,124.35022,-186.89026,70.267365,-807.6321,-795.53925,-843.9695,793.3439,905.22784,921.755,8.400001,11.5,11.1,31.0,14.0,63.0
14,125.20951,-187.41423,70.49692,-808.16486,-800.8165,-846.15894,790.9459,903.7559,920.37036,8.8,11.0,11.2,31.0,14.0,55.0
15,126.3328,-188.28853,70.212105,-809.24316,-806.78894,-848.256,789.0085,903.24054,919.25964,11.5,11.5,10.7,31.0,14.0,55.0
16,127.67912,-189.65692,69.16718,-810.50305,-813.28986,-849.922,787.2477,903.872,918.7406,11.5,11.6,10.2,31.0,14.0,55.0
17,129.37712,-192.09143,67.46852,-811.78265,-820.3496,-851.71783,785.9343,905.5717,919.5521,12.2,11.0,10.400001,31.0,6.0,55.0
18,131.46707,-195.28378,65.25873,-813.15076,-828.21844,-853.8251,785.2823,908.5262,921.67773,12.0,10.6,11.2,31.0,22.0,31.0
19,133.62244,-198.0229,62.62325,-814.6794,-836.1726,-855.91626,785.2041,912.973,924.8436,12.2,11.5,11.7,31.0,22.0,31.0
20,135.65813,-200.15445,59.64296,-816.4729,-843.793,-858.3387,785.7027,919.1185,929.2854,12.2,11.900001,11.5,31.0,22.0,31.0
21,137.83948,-203.14111,56.090134,-818.42755,-851.6151,-861.036,786.653,925.97,934.9504,11.900001,9.7,10.900001,31.0,22.0,31.0
22,140.0699,-207.5809,52.0093,-820.49365,-859.4544,-864.11304,788.0213,932.5303,941.2058,12.0,12.2,11.900001,31.0,14.0,31.0
23,142.29208,-212.16942,47.614723,-822.74304,-867.5098,-868.41876,789.7344,939.0571,947.64557,11.7,11.2,12.2,31.0,6.0,31.0
24,144.35637,-216.69098,42.61217,-824.7156,-875.86,-873.64655,791.7375,945.677,953.78015,11.1,8.900001,9.400001,95.0,30.0,31.0
25,145.60875,-221.38663,37.27771,-826.3036,-882.71063,-877.9891,794.0111,952.5827,959.153,11.6,9.7,10.400001,95.0,30.0,31.0
26,146.12737,-225.8113,32.185223,-828.15955,-888.30884,-881.0952,796.06226,959.2482,963.6459,11.5,10.400001,10.6,95.0,30.0,31.0
27,146.09726,-229.84557,27.395704,-830.18475,-893.64294,-884.5851,797.54083,964.7245,967.05005,11.2,10.7,10.6,95.0,30.0,31.0
28,145.37756,-233.82448,22.689013,-831.8507,-898.57837,-888.5364,798.53455,968.613,969.1665,11.5,11.5,11.1,95.0,30.0,31.0
29,144.17534,-238.0325,18.135345,-833.3747,-903.6447,-892.5019,798.78766,970.94604,970.4027,11.7,10.900001,10.400001,95.0,30.0,31.0
30,142.57133,-242.39116,13.755136,-834.90295,-908.7519,-896.71625,798.1035,972.158,970.584,11.5,10.400001,10.1,95.0,30.0,31.0
31,140.49217,-246.96846,9.070721,-836.349,-913.83124,-901.0359,796.64246,972.25604,968.8428,11.400001,9.900001,10.900001,95.0,30.0,31.0
32,137.96777,-251.90794,4.061604,-837.82886,-919.29083,-905.677,794.3126,970.9283,966.09094,11.5,10.1,10.6,95.0,30.0,31.0
33,135.04066,-257.36835,-1.2446173,-839.2078,-924.88055,-910.7708,791.11346,968.41956,963.1339,11.0,9.900001,11.0,95.0,30.0,31.0
34,131.72847,-263.29385,-6.880237,-840.19244,-930.2623,-916.2233,787.27185,965.0229,959.7744,11.6,9.6,11.0,95.0,30.0,31.0
35,127.880066,-269.48972,-12.872628,-840.90247,-935.766,-921.95605,782.9005,960.54407,956.1135,11.400001,9.7,11.0,95.0,30.0,31.0
36,123.30721,-276.15933,-19.248926,-841.7108,-941.44604,-927.6787,778.2391,955.1287,952.2673,11.2,9.2,11.1,95.0,30.0,31.0
37,118.1192,-283.32455,-25.91115,-842.1932,-947.0852,-933.6529,773.6764,949.27655,948.47156,11.5,9.1,11.0,95.0,30.0,31.0
38,112.65131,-290.80313,-33.18728,-842.179,-952.92285,-940.3246,769.4516,943.32007,944.60223,11.400001,8.5,10.7,95.0,30.0,31.0
39,107.04415,-298.84552,-41.110294,-842.1563,-959.15454,-947.29846,765.866,937.6163,940.7117,11.1,8.8,11.0,95.0,30.0,31.0
40,101.3434,-307.68045,-49.489235,-841.8623,-966.4261,-954.3152,763.303,932.0597,937.0177,11.1,8.8,10.7,95.0,30.0,31.0
41,95.65265,-317.54248,-58.62397,-841.2296,-974.57166,-961.6251,762.15454,926.74164,933.4847,11.5,11.900001,11.400001,95.0,22.0,31.0
42,90.18353,-328.42087,-68.52167,-840.6241,-982.1851,-969.21423,762.8407,922.9387,930.3819,11.5,11.6,11.1,95.0,30.0,31.0
43,85.57731,-339.8106,-79.073685,-840.1416,-989.56665,-976.6059,765.6931,920.88074,927.8443,11.400001,11.7,11.400001,95.0,22.0,31.0
44,82.450806,-351.4699,-90.16358,-839.6073,-997.40314,-983.65515,771.121,919.9918,926.0077,11.5,11.6,10.900001,95.0,22.0,31.0
45,80.669945,-363.33124,-101.03905,-839.026,-1005.26105,-990.3963,779.34924,920.2208,925.24713,11.1,12.0,11.1,95.0,22.0,31.0
46,79.53033,-373.47336,-111.69834,-838.87177,-1010.4406,-996.314,789.96655,923.89886,925.3803,11.5,8.400001,11.400001,95.0,30.0,31.0
47,78.87992,-384.40897,-122.99176,-839.7024,-1017.31256,-1001.4597,802.5101,927.59534,925.85474,11.0,9.1,10.6,127.0,30.0,31.0
48,79.14558,-395.7835,-134.81226,-841.5592,-1024.431,-1005.90643,816.7951,931.6716,926.70135,11.2,8.1,11.2,127.0,30.0,31.0
49,80.648125,-407.58884,-146.53656,-843.6802,-1030.6569,-1009.3625,832.4309,936.2088,928.04175,11.0,7.3,11.5,127.0,30.0,31.0
50,83.49771,-420.46243,-158.03731,-845.5281,-1036.8008,-1011.9854,849.09247,940.628,929.6509,11.2,12.2,11.400001,63.0,26.0,31.0
51,87.35604,-431.26678,-169.07503,-847.0881,-1039.0198,-1013.673,866.50165,944.65717,931.7871,10.7,12.400001,11.2,63.0,30.0,31.0
52,91.90668,-441.6648,-179.35927,-848.3541,-1041.9325,-1014.69244,884.3533,948.1127,934.7073,10.900001,12.0,11.0,63.0,30.0,31.0
53,97.22431,-450.2532,-188.56903,-849.14545,-1040.9989,-1015.30994,902.5687,952.03827,938.511,11.0,12.2,11.0,63.0,26.0,31.0
54,103.45706,-458.28958,-196.40056,-849.14386,-1039.8783,-1015.2729,921.18414,955.85645,943.1132,11.5,11.5,10.6,63.0,30.0,31.0
55,110.63132,-465.48303,-203.30072,-847.89594,-1037.834,-1014.7644,940.1984,960.38165,948.31647,11.0,11.7,11.1,63.0,30.0,31.0
56,118.571396,-471.78308,-209.90579,-845.2685,-1034.5857,-1013.599,959.29785,965.57,954.0603,11.5,11.900001,11.400001,63.0,14.0,31.0
57,126.66521,-477.789,-216.38565,-841.6882,-1030.9358,-1011.8706,978.18536,970.87445,959.6573,11.1,12.6,11.1,63.0,14.0,31.0
58,134.18991,-482.8912,-222.30698,-837.3395,-1023.742,-1010.00146,996.5876,977.1955,964.72815,10.900001,12.2,11.400001,63.0,14.0,31.0
59,140.80089,-487.76056,-227.62787,-831.93384,-1018.3459,-1007.7883,1014.1378,981.17114,969.3942,10.6,10.7,11.0,63.0,14.0,31.0
60,146.56487,-491.80682,-232.96721,-825.6381,-1010.5922,-1004.8871,1030.7606,983.8736,973.39514,10.2,7.1,11.400001,127.0,30.0,31.0
61,151.64258,-496.28537,-238.07065,-818.9927,-1003.7279,-1001.3441,1046.0939,985.7947,976.35706,10.900001,8.8,11.0,127.0,30.0,31.0
62,155.74696,-501.07938,-242.54259,-811.8734,-998.2274,-997.5926,1059.7473,986.90906,978.2366,11.0,10.2,11.5,127.0,30.0,31.0
63,158.95248,-505.5484,-246.56207,-804.0926,-992.2532,-993.52246,1071.8054,986.854,979.06946,11.0,11.0,11.1,127.0,30.0,31.0
64,161.37987,-509.80948,-250.27477,-795.8166,-985.90485,-988.8596,1082.0614,985.71185,978.3479,11.0,11.7,11.0,127.0,30.0,31.0
65,162.7621,-513.7747,-253.91736,-787.2504,-979.5109,-983.74915,1090.3484,983.2994,975.9438,11.0,11.900001,11.1,127.0,30.0,31.0
66,163.28342,-517.64594,-257.37427,-778.58844,-972.8703,-978.2366,1096.8953,979.6727,972.1829,10.900001,11.0,10.7,127.0,31.0,31.0
67,162.99733,-521.7003,-260.6985,-770.12537,-965.98486,-972.4143,1101.9196,974.8524,966.81647,11.0,11.5,11.2,127.0,31.0,31.0
68,161.80461,-525.81256,-264.3669,-762.08954,-958.9628,-966.20654,1105.6178,968.8977,959.73834,11.1,11.5,11.2,127.0,31.0,15.0
69,159.86797,-530.1142,-268.4046,-754.3899,-951.53345,-958.706,1108.1544,962.2405,951.56274,11.0,11.1,11.400001,127.0,31.0,15.0
70,157.1434,-535.1344,-272.7559,-747.16516,-943.22986,-949.8263,1109.5856,955.4667,943.0169,11.400001,11.1,11.1,127.0,31.0,15.0
71,153.63547,-540.8231,-277.50375,-740.3656,-933.58,-939.99884,1110.0282,949.1584,934.712,11.0,10.1,10.900001,127.0,31.0,15.0
72,149.93262,-546.6232,-282.67197,-733.70105,-922.38855,-929.0773,1109.8484,943.283,927.197,11.2,9.6,11.0,127.0,31.0,31.0
73,146.54456,-552.08716,-288.0061,-727.3253,-909.5875,-917.10913,1109.5885,938.18823,921.33203,11.1,9.2,11.2,127.0,31.0,31.0
74,143.75063,-556.87244,-292.9904,-721.24976,-894.5827,-904.02856,1109.8407,934.684,917.75665,11.1,9.900001,11.0,127.0,31.0,31.0
75,141.78143,-560.92523,-297.12674,-715.5652,-878.24854,-890.7533,1110.9534,932.4377,916.4195,11.2,11.7,10.6,127.0,31.0,30.0
76,140.49174,-563.27374,-299.92288,-710.37317,-860.71387,-877.97894,1112.9604,931.7858,917.2454,10.900001,8.1,10.7,127.0,31.0,14.0
77,139.46191,-563.10754,-302.22733,-705.38007,-840.06976,-865.4893,1115.814,933.90967,919.9364,11.0,12.0,10.7,127.0,29.0,14.0
78,138.38597,-561.6276,-303.51315,-700.5847,-826.27185,-853.3998,1119.5503,936.8281,923.4349,11.0,11.2,8.900001,127.0,31.0,14.0
79,137.10419,-559.7086,-301.93854,-696.27,-810.8745,-841.86597,1124.3179,940.15436,927.4275,11.1,11.6,10.900001,127.0,31.0,15.0
80,135.36075,-557.5091,-299.2068,-692.3873,-794.77985,-831.7527,1130.103,943.56885,932.01,11.2,11.6,9.900001,127.0,31.0,47.0
81,133.13774,-555.26465,-297.53635,-688.8678,-778.8048,-823.1697,1136.71,946.9476,935.35474,11.0,11.5,9.400001,127.0,31.0,63.0
82,130.78987,-552.9306,-297.13004,-686.0672,-762.8325,-815.7171,1144.0792,950.50757,937.1563,10.7,11.2,11.0,127.0,31.0,63.0
83,128.57301,-550.19025,-296.8816,-683.8581,-746.7477,-809.79504,1152.0675,954.3672,939.612,11.0,11.5,11.1,127.0,31.0,63.0
84,126.36948,-546.7672,-296.08792,-682.10974,-731.0579,-805.21643,1160.2932,958.70844,943.6269,11.1,11.400001,11.2,127.0,31.0,63.0
85,124.01507,-542.44116,-295.24512,-680.9658,-716.2392,-801.31024,1168.3124,963.6911,948.73914,11.1,11.5,10.900001,127.0,31.0,63.0
86,121.48558,-537.0327,-294.44754,-680.26666,-702.04944,-798.00635,1175.7672,968.8349,954.2803,11.1,12.2,11.5,127.0,31.0,63.0
87,118.81763,-530.70123,-293.63477,-679.7417,-688.2487,-795.529,1182.3308,973.653,959.7171,10.900001,11.6,11.7,127.0,31.0,63.0
88,115.966995,-523.9563,-293.03058,-679.1362,-674.977,-793.5532,1187.8271,978.1528,964.58997,11.0,11.6,11.400001,127.0,31.0,63.0
89,112.978294,-517.30676,-293.04608,-678.7247,-662.1737,-791.50446,1192.2941,982.24786,968.5235,11.0,11.6,11.900001,127.0,31.0,63.0
90,110.12351,-510.9212,-293.87598,-678.6804,-649.491,-789.1272,1195.5955,985.8661,971.36285,10.7,11.6,11.2,127.0,31.0,63.0
91,107.50045,-505.0695,-295.47113,-678.7846,-636.89026,-786.5885,1197.6522,989.0788,973.4675,11.1,12.0,11.7,127.0,31.0,63.0
92,105.046135,-499.78497,-297.42365,-678.78284,-624.08795,-784.1709,1198.4948,991.85706,975.35474,11.0,11.7,11.6,127.0,31.0,63.0
93,102.74376,-494.5173,-299.49692,-678.6185,-610.7555,-781.9303,1198.0289,993.8461,976.91016,11.0,11.6,11.0,127.0,31.0,127.0
94,100.55622,-489.2711,-302.08698,-678.68146,-598.0506,-778.69324,1196.2216,994.5202,977.78235,11.2,11.7,11.0,127.0,31.0,127.0
95,98.437065,-483.94815,-305.06763,-678.9096,-586.10004,-772.61127,1193.2721,993.90546,978.1732,10.7,11.400001,11.6,127.0,31.0,127.0
96,96.59916,-478.19824,-308.0536,-679.11084,-573.4161,-765.71655,1189.4164,992.59406,978.1034,10.900001,12.2,8.1,127.0,31.0,127.0
97,95.20064,-471.9613,-311.0531,-679.43463,-560.39905,-761.1644,1184.6797,990.5852,977.1081,11.0,7.9,9.6,127.0,31.0,127.0
98,94.1037,-465.2733,-313.8257,-679.7166,-548.3165,-757.7779,1179.1329,987.4787,975.4975,11.0,8.8,11.400001,127.0,31.0,127.0
99,93.20889,-458.53934,-316.07632,-680.1157,-535.9262,-753.8403,1173.0616,983.9115,973.68274,11.1,7.5,11.6,127.0,31.0,127.0
100,92.54229,-451.6068,-317.51886,-680.9197,-521.71423,-747.6577,1166.6014,980.84265,972.2732,11.0,11.900001,9.2,127.0,31.0,127.0
101,92.22492,-443.938,-318.4405,-681.91064,-507.02728,-738.211,1159.8627,978.559,971.4224,11.0,11.2,11.400001,127.0,31.0,115.0
102,92.187004,-435.55984,-319.60596,-683.17773,-492.26678,-727.2883,1153.3492,977.01135,970.0493,11.1,11.5,11.5,127.0,31.0,119.0
103,92.16191,-426.5196,-320.61548,-684.7019,-476.6815,-715.97736,1147.4202,976.01227,968.25635,10.900001,11.5,11.400001,127.0,31.0,115.0
104,92.03119,-416.51273,-320.79315,-686.3094,-460.6032,-704.0112,1142.1077,975.2837,966.65826,11.0,11.0,11.900001,127.0,31.0,113.0
105,91.76679,-405.29803,-320.42102,-688.3723,-444.4893,-691.61456,1137.933,974.47894,965.38776,11.0,11.0,12.400001,127.0,31.0,113.0
106,91.21896,-392.83105,-319.93698,-691.0969,-428.6036,-679.3303,1135.5035,973.4837,964.74945,11.0,11.5,12.400001,127.0,31.0,115.0
107,90.21435,-379.26498,-319.4607,-694.413,-413.45453,-667.43256,1134.8531,972.5076,964.7811,11.0,11.400001,12.5,127.0,31.0,115.0
108,88.706,-364.9349,-318.9706,-698.2205,-398.9718,-656.2496,1136.0022,971.96484,965.17145,10.6,11.1,11.0,127.0,31.0,123.0
109,86.735275,-350.65576,-318.3657,-702.37384,-385.74878,-645.8983,1139.0864,971.7961,965.59985,11.0,8.900001,11.1,127.0,31.0,123.0
110,84.1559,-337.41687,-317.82632,-706.86346,-374.7041,-636.1287,1143.8792,971.96533,966.3658,10.900001,11.900001,11.5,127.0,31.0,123.0
111,80.915146,-325.16678,-317.68176,-711.6719,-364.08887,-626.4539,1150.0182,973.175,967.9341,11.6,11.2,11.5,127.0,31.0,123.0
112,77.36866,-313.2955,-318.07877,-716.49225,-353.20337,-616.3683,1157.332,975.7385,970.32385,11.0,11.5,11.6,127.0,31.0,127.0
113,73.61568,-301.67722,-318.74863,-721.3019,-342.94644,-606.45044,1165.5408,979.4266,973.8528,11.400001,10.7,11.5,127.0,63.0,125.0
114,69.609924,-290.5129,-319.01025,-726.4511,-333.93857,-597.46893,1174.3932,983.8426,978.61456,11.1,11.400001,11.6,127.0,63.0,93.0
115,65.53024,-279.4908,-318.68546,-731.82587,-326.6524,-589.26886,1183.6237,988.72546,983.94635,11.400001,11.5,11.400001,127.0,63.0,93.0
116,61.41718,-268.20987,-317.9774,-737.21875,-321.096,-582.2737,1192.7769,993.59314,989.7191,11.400001,11.400001,10.7,127.0,63.0,93.0
117,57.206276,-257.0121,-317.00272,-742.6506,-317.27234,-576.7836,1201.4863,997.9718,995.8169,11.5,11.2,11.400001,127.0,63.0,89.0
118,52.891827,-246.0906,-315.95267,-747.9907,-314.8721,-572.0545,1209.5781,1002.16144,1001.8145,11.5,11.2,11.5,127.0,63.0,89.0
119,48.510742,-235.48822,-314.79263,-753.24713,-313.57965,-567.60333,1216.8733,1006.3172,1007.5081,11.5,11.0,11.5,127.0,63.0,91.0
120,44.06727,-225.80943,-313.39398,-758.4765,-312.88864,-563.17505,1223.0327,1010.1802,1012.3045,11.2,10.900001,11.5,127.0,63.0,91.0
121,39.492344,-217.43523,-311.89044,-763.59515,-312.40128,-558.9323,1227.8396,1013.3258,1015.568,11.2,11.400001,11.6,127.0,63.0,91.0
122,34.867092,-210.02602,-310.07095,-768.52814,-311.81833,-554.50073,1230.8846,1015.2211,1016.5058,10.1,10.900001,11.400001,127.0,63.0,91.0
123,30.403332,-203.02798,-307.62094,-773.1897,-310.73004,-549.0816,1231.8641,1015.5152,1015.0681,11.5,11.2,12.400001,127.0,63.0,83.0
124,26.017612,-195.97856,-305.09088,-777.9269,-308.945,-542.65656,1231.1556,1013.8075,1009.91754,11.2,11.5,12.400001,127.0,63.0,115.0
125,21.5076,-188.49385,-304.1724,-782.9984,-306.2069,-538.53973,1228.7985,1009.82605,1004.1475,11.0,11.400001,11.1,127.0,63.0,123.0
126,17.08121,-180.52774,-302.5436,-788.0268,-302.68326,-532.63873,1224.5005,1003.9671,996.6855,11.400001,11.5,11.900001,127.0,63.0,123.0
127,12.828637,-172.25879,-300.98975,-792.8946,-298.57385,-525.7034,1218.5784,996.8932,988.55273,11.400001,11.2,11.400001,127.0,63.0,123.0
128,8.356717,-163.80936,-300.39752,-797.92505,-294.1476,-518.5739,1211.6527,989.176,981.33014,11.5,11.400001,11.1,127.0,63.0,123.0
129,3.419213,-155.32623,-300.6219,-803.14374,-290.37903,-511.14075,1203.9897,981.29443,976.003,11.2,9.400001,11.0,127.0,63.0,123.0
130,-2.2443454,-146.78966,-301.0005,-808.44763,-287.67975,-503.48407,1195.8041,973.8579,972.70465,11.5,11.0,11.1,127.0,63.0,123.0
131,-9.044821,-138.38885,-301.0179,-813.58826,-286.12616,-495.68973,1187.3688,967.36395,970.19586,11.0,10.900001,11.1,127.0,127.0,123.0
132,-17.030884,-129.91441,-300.18878,-817.9173,-285.46036,-487.35922,1178.6772,961.57886,966.9471,11.2,11.0,11.5,127.0,111.0,123.0
133,-26.22076,-120.289085,-298.32837,-821.2883,-284.31003,-478.1556,1169.8944,956.54315,962.7349,10.7,10.900001,10.7,127.0,127.0,123.0
134,-36.776806,-108.93154,-295.0555,-824.1452,-282.05286,-467.8232,1161.4896,952.44904,958.2398,11.400001,10.900001,11.0,127.0,127.0,107.0
